!SIL 1.0	SIL
<UNK> 1.0	SPN
BRUSHING 1.0	B R AH SH IH NG
ABOUT 1.0	AH B AW T
PALACE 1.0	P AE L AH S
ARMOR 1.0	AA R M ER
TOWER 1.0	T AW ER
FIGHT 1.0	F AY T
ROBBING 1.0	R AA B IH NG
CHANCE 1.0	CH AE N S
GOING 1.0	G OW IH NG
VICTORY 1.0	V IH K T ER IY
CORNER 1.0	K AO R N ER
FEAR 1.0	F IH R
SATURDAY 1.0	S AE T ER D IY
EMPTY 1.0	EH M P T IY
HAPPY 1.0	HH AE P IY
PLATINUM 1.0	P L AE T N AH M
CHEAT 1.0	CH IY T
CHEAP 1.0	CH IY P
CHOCOLATE 1.0	CH AO K L AH T
LOOKED 1.0	L UH K T
BEAT 1.0	B IY T
HAUNTED 1.0	HH AO N T AH D
LEADER 1.0	L IY D ER
VISION 1.0	V IH ZH AH N
TAP 1.0	T AE P
BOULEVARD 1.0	B UH L AH V AA R D
FORGET 1.0	F ER G EH T
FATED 1.0	F EY T IH D
BRAINS 1.0	B R EY N Z
O 1.0	OW
OCEAN 1.0	OW SH AH N
DEPTHS 1.0	D EH P TH S
HUNG 1.0	HH AH NG
STU 1.0	S T UW
ESTEEM 1.0	AH S T IY M
TURPENTINE 1.0	T ER P AH N T AY N
WHISPERING 1.0	W IH S P ER IH NG
FOLLOW 1.0	F AA L OW
GUIDE 1.0	G AY D
BUTTERFLY 1.0	B AH T ER F L AY
DISTANCE 1.0	D IH S T AH N S
CAUTIOUS 1.0	K AO SH AH S
WHISPERS 1.0	W IH S P ER Z
SWAY 1.0	S W EY
MOVED 1.0	M UW V D
DIDN'T 1.0	D IH D AH N T
LOYALTY 1.0	L OY AH L T IY
GOIN' 1.0	G OW AH N
LOSERS 1.0	L UW Z ER Z
HAVEN'T 1.0	HH AE V AH N T
RISES 1.0	R AY Z AH Z
SWAYZE 1.0	S W EY Z
FRIENDLY 1.0	F R EH N D L IY
HOPE 1.0	HH OW P
HORSES 1.0	HH AO R S AH Z
BORROWED 1.0	B AA R OW D
GLIMPSE 1.0	G L IH M P S
VAMPIRES 1.0	V AE M P AY R Z
ELASTIC 1.0	IH L AE S T IH K
EXPLOSIONS 1.0	IH K S P L OW ZH AH N Z
WARMS 1.0	W AO R M Z
PUTTING 1.0	P AH T IH NG
ACROSS 1.0	AH K R AO S
ACT 1.0	AE K T
THROAT 1.0	TH R OW T
NEW 1.0	N UW
RING 1.0	R IH NG
OPEN 1.0	OW P AH N
ALTAR 1.0	AO L T ER
NIGHTS 1.0	N AY T S
OVEN 1.0	AH V AH N
BACKSTAGE 1.0	B AE K S T EY JH
EASE 1.0	IY Z
SALE 1.0	S EY L
BALLING 1.0	B AO L IH NG
SLUMS 1.0	S L AH M Z
CRAFT 1.0	K R AE F T
REPLACED 1.0	R IY P L EY S T
PATERSON 1.0	P AE T ER S AH N
CATCH 1.0	K AE CH
EARTH 1.0	ER TH
EAST 1.0	IY S T
SINGING 1.0	S IH NG IH NG
TIGERS 1.0	T AY G ER Z
BLASTED 1.0	B L AE S T AH D
GAVE 1.0	G EY V
TRAVELING 1.0	T R AE V AH L IH NG
PLUMBER 1.0	P L AH M ER
FLASH 1.0	F L AE SH
UNIMPRESSED 1.0	AH N IH M P R EH S T
ROPES 1.0	R OW P S
CHOICE 1.0	CH OY S
NECKLACE 1.0	N EH K L AH S
DETROIT 1.0	D IH T R OY T
STATEMENT 1.0	S T EY T M AH N T
OTHERS 1.0	AH DH ER Z
NEED 1.0	N IY D
ACHE 1.0	EY K
QUICKLY 1.0	K W IH K L IY
TYPICAL 1.0	T IH P AH K AH L
TREASURED 1.0	T R EH ZH ER D
GORILLA 1.0	G ER IH L AH
MEN 1.0	M EH N
NEWBORN 1.0	N UW B AO R N
MET 1.0	M EH T
TV 1.0	T IY V IY
BOOM 1.0	B UW M
WINGS 1.0	W IH NG Z
PERFECTION 1.0	P ER F EH K SH AH N
BOB 1.0	B AA B
DICK 1.0	D IH K
BARTENDER 1.0	B AA R T EH N D ER
GOLD 1.0	G OW L D
WALL 1.0	W AO L
SAINTS 1.0	S EY N T S
JUDGING 1.0	JH AH JH IH NG
WALK 1.0	W AO K
UNDERGROUND 1.0	AH N D ER G R AW N D
SHINES 1.0	SH AY N Z
FACE 1.0	F EY S
PUFFING 1.0	P AH F IH NG
SMOKY 1.0	S M OW K IY
FLYING 1.0	F L AY IH NG
DEXTER 1.0	D EH K S T ER
ANYMORE 1.0	EH N IY M AO R
STRAWBERRY 1.0	S T R AO B EH R IY
FUCKING 1.0	F AH K IH NG
BURY 1.0	B EH R IY
ASPIRATION 1.0	AE S P ER EY SH AH N
FLICKER 1.0	F L IH K ER
WELL 1.0	W EH L
SHROUDING 1.0	SH R AW D IH NG
EVERYTHING 1.0	EH V R IY TH IH NG
BEHIND 1.0	B IH HH AY N D
POINTS 1.0	P OY N T S
STATUS 1.0	S T AE T AH S
AH 1.0	AA
SLEEPLESS 1.0	S L IY P L AH S
AM 1.0	AE M
GLOVE 1.0	G L AH V
AN 1.0	AE N
SOMEBODY'S 1.0	S AH M B AA D IY Z
TEST 1.0	T EH S T
AS 1.0	AE Z
AT 1.0	AE T
AW 1.0	AO
AY 1.0	EY
WOVEN 1.0	W OW V AH N
ASKED 1.0	AE S K T
CONTENT 1.0	K AA N T EH N T
SEVEN 1.0	S EH V AH N
SLEEVE 1.0	S L IY V
ELVIS 1.0	EH L V IH S
CONVEYOR 1.0	K AH N V EY ER
SHEIK 1.0	SH IY K
TAKE 1.0	T EY K
HERSELF 1.0	HH ER S EH L F
SEVENTY 1.0	S EH V AH N T IY
ETERNITY 1.0	IH T ER N AH T IY
UNDERSTANDS 1.0	AH N D ER S T AE N D Z
SPILLED 1.0	S P IH L D
ADDRESS 1.0	AE D R EH S
STUCK 1.0	S T AH K
MARTINIS 1.0	M AA R T IY N IY Z
FALL 1.0	F AO L
ENCHANT 1.0	EH N CH AE N T
WHACK 1.0	W AE K
BREATHLESS 1.0	B R EH TH L AH S
WORKED 1.0	W ER K T
FLARES 1.0	F L EH R Z
MANY 1.0	M EH N IY
PASSPORT 1.0	P AE S P AO R T
ROCKING 1.0	R AA K IH NG
REVOLVED 1.0	R IY V AA L V D
DRESS 1.0	D R EH S
PROTECTIVE 1.0	P R AH T EH K T IH V
QUIT 1.0	K W IH T
CLOTHED 1.0	K L OW DH D
PEACE 1.0	P IY S
DIPPING 1.0	D IH P IH NG
DREW 1.0	D R UW
PICTURES 1.0	P IH K CH ER Z
WHO'LL 1.0	HH UW L
DUST 1.0	D AH S T
ISLANDS 1.0	AY L AH N D Z
WEIRD 1.0	W IH R D
RIVER 1.0	R IH V ER
DREAM 1.0	D R IY M
SIDEWALK 1.0	S AY D W AO K
MINUTE 1.0	M IH N AH T
CLOTHES 1.0	K L OW DH Z
THEY'RE 1.0	DH EH R
TINTS 1.0	T IH N T S
MOMENTS 1.0	M OW M AH N T S
PHOTO 1.0	F OW T OW
TREMBLING 1.0	T R EH M B AH L IH NG
ALABAMA 1.0	AE L AH B AE M AH
WATER 1.0	W AO T ER
ONLY 1.0	OW N L IY
COMFORTABLY 1.0	K AH M F ER T AH B L IY
LAY 1.0	L EY
WOLVES 1.0	W UH L V Z
LAW 1.0	L AO
REALIZE 1.0	R IY AH L AY Z
HAPPINESS 1.0	HH AE P IY N AH S
BATHTUB 1.0	B AE TH T AH B
UNINTERESTED 1.0	AH N IH N T R AH S T AH D
CODE 1.0	K OW D
MOVIE 1.0	M UW V IY
FRIDAY 1.0	F R AY D IY
UPON 1.0	AH P AA N
ANYBODY 1.0	EH N IY B AH D IY
FOREIGN 1.0	F AO R AH N
HEROIN 1.0	HH EH R OW AH N
SEAN 1.0	SH AO N
DODGING 1.0	D AA JH IH NG
HONOR 1.0	AA N ER
HEROIC 1.0	HH IH R OW IH K
THERE'LL 1.0	DH EH R AH L
WHAT 1.0	W AH T
BREATHING 1.0	B R IY DH IH NG
DOCTOR 1.0	D AA K T ER
REBOUNDS 1.0	R IY B AW N D Z
STEAM 1.0	S T IY M
PEGGY 1.0	P EH G IY
VINYL 1.0	V AY N AH L
RADIO 1.0	R EY D IY OW
STARTING 1.0	S T AA R T IH NG
SUPPOSED 1.0	S AH P OW Z D
CIRCLES 1.0	S ER K AH L Z
KILLER 1.0	K IH L ER
DISDAIN 1.0	D IH S D EY N
SECRETS 1.0	S IY K R AH T S
AGREED 1.0	AH G R IY D
LOSE 1.0	L UW Z
CIGARETTES 1.0	S IH G ER EH T S
ELSE 1.0	EH L S
POSSESSIVE 1.0	P AH Z EH S IH V
MIDDLE 1.0	M IH D AH L
HAUL 1.0	HH AO L
REDEFINED 1.0	R IY D IH F AY N D
PASSION 1.0	P AE SH AH N
RIGHTEOUS 1.0	R AY CH AH S
TENSION 1.0	T EH N SH AH N
HABIT 1.0	HH AE B AH T
MARIJUANA 1.0	M EH R AH W AA N AH
GONNA 1.0	G AA N AH
PAGE 1.0	P EY JH
BREATH 1.0	B R EH TH
SLOWLY 1.0	S L OW L IY
SUMMERTIME 1.0	S AH M ER T AY M
PLACE 1.0	P L EY S
PULLED 1.0	P UH L D
RAISE 1.0	R EY Z
CAMERAS 1.0	K AE M ER AH Z
GENTLEMAN 1.0	JH EH N T AH L M AH N
WHATEVER 1.0	W AH T EH V ER
HAIR 1.0	HH EH R
COLLECT 1.0	K AH L EH K T
MOMENT 1.0	M OW M AH N T
IDENTIFY 1.0	AY D EH N T AH F AY
KNOW 1.0	N OW
HORIZON 1.0	HH ER AY Z AH N
HOME 1.0	HH OW M
TICK 1.0	T IH K
MEETING 1.0	M IY T IH NG
PAINFUL 1.0	P EY N F AH L
MISUNDERSTOOD 1.0	M IH S AH N D ER S T UH D
BIDING 1.0	B AY D IH NG
HEART 1.0	HH AA R T
PATIENT 1.0	P EY SH AH N T
REMEMBER 1.0	R IH M EH M B ER
POINT 1.0	P OY N T
DRUGS 1.0	D R AH G Z
GEICO 1.0	G AY K OW
HEARD 1.0	HH ER D
WINDY 1.0	W IH N D IY
WORDS 1.0	W ER D Z
GORGEOUS 1.0	G AO R JH AH S
EXPECTED 1.0	IH K S P EH K T AH D
UNDRESSED 1.0	AH N D R EH S T
DOLLARS 1.0	D AA L ER Z
BONE 1.0	B OW N
BOND 1.0	B AA N D
CRUISING 1.0	K R UW Z IH NG
SHIRT 1.0	SH ER T
JET 1.0	JH EH T
ENGINE 1.0	EH N JH AH N
YE 1.0	Y IY
BROW 1.0	B R AW
OBVIOUSLY 1.0	AA B V IY AH S L IY
LUST 1.0	L AH S T
HOST 1.0	HH OW S T
CANNOT 1.0	K AE N AA T
ABOVE 1.0	AH B AH V
SITS 1.0	S IH T S
TRIUMPH 1.0	T R AY AH M F
EVERGREEN 1.0	EH V ER G R IY N
LOSS 1.0	L AO S
ALL 1.0	AO L
LEARNT 1.0	L ER N T
LIKE 1.0	L AY K
LOST 1.0	L AO S T
RIGHTS 1.0	R AY T S
DECENT 1.0	D IY S AH N T
QUEEN 1.0	K W IY N
RHYMES 1.0	R AY M Z
SHOCKS 1.0	SH AA K S
MA'AM 1.0	M AE M
SATISFIED 1.0	S AE T AH S F AY D
CLASSY 1.0	K L AE S IY
MARY 1.0	M EH R IY
CREEP 1.0	K R IY P
SHINE 1.0	SH AY N
ROW 1.0	R OW
MADNESS 1.0	M AE D N AH S
ROCKED 1.0	R AA K T
YO 1.0	Y OW
YA 1.0	Y AA
TURNS 1.0	T ER N Z
TOP 1.0	T AA P
LINES 1.0	L AY N Z
TOW 1.0	T OW
UP 1.0	AH P
LINEN 1.0	L IH N AH N
SPINNING 1.0	S P IH N IH NG
DESPAIR 1.0	D IH S P EH R
GREEN 1.0	G R IY N
TOO 1.0	T UW
HOLDING 1.0	HH OW L D IH NG
TOM 1.0	T AA M
CHECKED 1.0	CH EH K T
TRYING 1.0	T R AY IH NG
SHINY 1.0	SH AY N IY
GREED 1.0	G R IY D
TOE 1.0	T OW
THRONE 1.0	TH R OW N
HIS 1.0	HH IH Z
HIT 1.0	HH IH T
EVERYBODY'S 1.0	EH V R IY B AA D IY Z
CHOSEN 1.0	CH OW Z AH N
WISHING 1.0	W IH SH IH NG
MORNING 1.0	M AO R N IH NG
CANYON 1.0	K AE N Y AH N
CIGARETTE 1.0	S IH G ER EH T
MAGAZINE 1.0	M AE G AH Z IY N
NOSE 1.0	N OW Z
MOTHER 1.0	M AH DH ER
BECOME 1.0	B IH K AH M
HIM 1.0	HH IH M
COOKING 1.0	K UH K IH NG
INFINITY 1.0	IH N F IH N AH T IY
LEATHER 1.0	L EH DH ER
BELONGED 1.0	B IH L AO NG D
BAND 1.0	B AE N D
BANG 1.0	B AE NG
HOO 1.0	HH UW
AIN'T 1.0	EY N T
COVERS 1.0	K AH V ER Z
STEALING 1.0	S T IY L IH NG
QUICKIE 1.0	K W IH K IY
WOUNDED 1.0	W UW N D AH D
WANTED 1.0	W AA N T AH D
THINKS 1.0	TH IH NG K S
RECOVER 1.0	R IH K AH V ER
OXYGEN 1.0	AA K S AH JH AH N
FAVOR 1.0	F EY V ER
SACRIFICE 1.0	S AE K R AH F AY S
WASHED 1.0	W AA SH T
SAME 1.0	S EY M
DEFENSE 1.0	D IH F EH N S
PEACEFUL 1.0	P IY S F AH L
SURPRISE 1.0	S ER P R AY Z
MESSAGE 1.0	M EH S AH JH
TRYIN' 1.0	T R AY IH N
HERE'S 1.0	HH IH R Z
PRESSED 1.0	P R EH S T
BRIDGES 1.0	B R IH JH AH Z
VIOLENCE 1.0	V AY AH L AH N S
ROAMING 1.0	R OW M IH NG
DRUG 1.0	D R AH G
CLICKING 1.0	K L IH K IH NG
TWINKIES 1.0	T W IH NG K IY Z
SELFISH 1.0	S EH L F IH SH
TIMEPIECE 1.0	T AY M P IY S
BUILT 1.0	B IH L T
COATS 1.0	K OW T S
KILL 1.0	K IH L
TRUTH 1.0	T R UW TH
WOULD'VE 1.0	W UH D AH V
USUALLY 1.0	Y UW ZH AH W AH L IY
PROVED 1.0	P R UW V D
WITH 1.0	W IH DH
POWERLESS 1.0	P AW ER L AH S
BOTTOM 1.0	B AA T AH M
RAN 1.0	R AE N
SMOOTH 1.0	S M UW DH
BRADLEY 1.0	B R AE D L IY
RAW 1.0	R AA
DETERMINED 1.0	D IH T ER M AH N D
GOALS 1.0	G OW L Z
RAP 1.0	R AE P
RENDEZVOUS 1.0	R AA N D IH V UW
FRONT 1.0	F R AH N T
CHECKOUT 1.0	CH EH K AW T
ROAD 1.0	R OW D
FOUNDATION 1.0	F AW N D EY SH AH N
SHED 1.0	SH EH D
SISTER 1.0	S IH S T ER
EYE 1.0	AY
SPINE 1.0	S P AY N
ARMCHAIR 1.0	AA R M CH EH R
HUGS 1.0	HH AH G Z
GOODNESS 1.0	G UH D N AH S
WAITING 1.0	W EY T IH NG
BLESSINGS 1.0	B L EH S IH NG Z
WONDERING 1.0	W AH N D ER IH NG
TICKET 1.0	T IH K AH T
LADY 1.0	L EY D IY
PRINCE 1.0	P R IH N S
FIRST 1.0	F ER S T
SHOULDER 1.0	SH OW L D ER
VIE 1.0	V AY
ROSE 1.0	R OW Z
ANTISOCIAL 1.0	AE N T IH S OW SH AH L
VENTURA 1.0	V EH N CH ER AH
ANSWERS 1.0	AE N S ER Z
STUMBLE 1.0	S T AH M B AH L
LETS 1.0	L EH T S
DIZZY 1.0	D IH Z IY
YOU'VE 1.0	Y UW V
SIGHT 1.0	S AY T
JEALOUS 1.0	JH EH L AH S
PLATES 1.0	P L EY T S
DECADENCE 1.0	D EH K AH D AH N S
SPEAK 1.0	S P IY K
STAR 1.0	S T AA R
VULNERABLE 1.0	V AH L N ER AH B AH L
BUSINESS 1.0	B IH Z N AH S
COVERING 1.0	K AH V ER IH NG
STAY 1.0	S T EY
FOUR 1.0	F AO R
REALIGN 1.0	R IY AH L AY N
RESTLESS 1.0	R EH S T L AH S
FUN 1.0	F AH N
BEATING 1.0	B IY T IH NG
HATE 1.0	HH EY T
MODEL 1.0	M AA D AH L
BLIND 1.0	B L AY N D
PULL 1.0	P UH L
RUSH 1.0	R AH SH
MANAGED 1.0	M AE N AH JH D
RAGE 1.0	R EY JH
BECOMES 1.0	B IH K AH M Z
FLOW 1.0	F L OW
ALIVE 1.0	AH L AY V
BLINK 1.0	B L IH NG K
FICKLE 1.0	F IH K AH L
UNSPOKEN 1.0	AH N S P OW K AH N
WEREN'T 1.0	W ER AH N T
SICK 1.0	S IH K
OURSELVES 1.0	AW ER S EH L V Z
RUST 1.0	R AH S T
HIDEAWAY 1.0	HH AY D AH W EY
EVERYTIME 1.0	EH V R IY T AY M
RECKON 1.0	R EH K AH N
VICTORIA'S 1.0	V IH K T AO R IY AH Z
WOO 1.0	W UW
WON 1.0	W AH N
REST 1.0	R EH S T
SHARED 1.0	SH EH R D
WOE 1.0	W OW
PARK 1.0	P AA R K
NOW'S 1.0	N AW Z
MOOD 1.0	M UW D
WIFE 1.0	W AY F
SHOUT 1.0	SH AW T
MOON 1.0	M UW N
DELUSIONS 1.0	D IH L UW ZH AH N Z
NOWHERE 1.0	N OW W EH R
LURKING 1.0	L ER K IH NG
PIE 1.0	P AY
SPEEDS 1.0	S P IY D Z
STARING 1.0	S T EH R IH NG
STONES 1.0	S T OW N Z
SPRING 1.0	S P R IH NG
SECOND'S 1.0	S EH K AH N D Z
INTERRUPT 1.0	IH N T ER AH P T
CURE 1.0	K Y UH R
MUDDY 1.0	M AH D IY
STONED 1.0	S T OW N D
MUM 1.0	M AH M
JOBS 1.0	JH AA B Z
STRONG 1.0	S T R AO NG
NINETEEN 1.0	N AY N T IY N
NEGLECT 1.0	N AH G L EH K T
ASS 1.0	AE S
SHOPPING 1.0	SH AA P IH NG
WORD 1.0	W ER D
SPLITS 1.0	S P L IH T S
ODDS 1.0	AA D Z
WORK 1.0	W ER K
WORN 1.0	W AO R N
EXCITED 1.0	IH K S AY T AH D
SWAT 1.0	S W AA T
MOMMA 1.0	M AA M AH
SPREAD 1.0	S P R EH D
SHAKE 1.0	SH EY K
ASK 1.0	AE S K
LORD 1.0	L AO R D
STILL 1.0	S T IH L
BEGINNING 1.0	B IH G IH N IH NG
NIGHTMARE 1.0	N AY T M EH R
BOYFRIEND 1.0	B OY F R EH N D
DUH 1.0	D AH
SEEING 1.0	S IY IH NG
PROTECT 1.0	P R AH T EH K T
MANAGE 1.0	M AE N AH JH
HERO 1.0	HH IH R OW
DUM 1.0	D AH M
OPPOSITE 1.0	AA P AH Z AH T
PORE 1.0	P AO R
THREATENING 1.0	TH R EH T AH N IH NG
EYELINER 1.0	AY L AY N ER
HERE 1.0	HH IY R
DUG 1.0	D AH G
BRANDY 1.0	B R AE N D IY
R 1.0	AA R
LESSON 1.0	L EH S AH N
KNOWING 1.0	N OW IH NG
LARGE 1.0	L AA R JH
HAZY 1.0	HH EY Z IY
MATTER 1.0	M AE T ER
HAZE 1.0	HH EY Z
PARTIES 1.0	P AA R T IY Z
MYSTERIOUS 1.0	M IH S T IH R IY AH S
NARROW 1.0	N EH R OW
ITS 1.0	IH T S
DEVOTION 1.0	D IH V OW SH AH N
PRETENDS 1.0	P R IY T EH N D Z
FIGHTER 1.0	F AY T ER
COMPLETE 1.0	K AH M P L IY T
ROCKET 1.0	R AA K AH T
PORTUGUESE 1.0	P AO R CH AH G IY Z
SUNDAYS 1.0	S AH N D EY Z
ETERNAL 1.0	IH T ER N AH L
EYEBALL 1.0	AY B AO L
BOTHERED 1.0	B AA DH ER D
RECOMMENDED 1.0	R EH K AH M EH N D AH D
BLACK 1.0	B L AE K
OPINION 1.0	AH P IH N Y AH N
NOTHIN' 1.0	N AH TH IH N
SKYLINE 1.0	S K AY L AY N
BAIL 1.0	B EY L
FLOWERS 1.0	F L AW ER Z
REALIZED 1.0	R IY AH L AY Z D
DEPEND 1.0	D IH P EH N D
PURPLE 1.0	P ER P AH L
BIG 1.0	B IH G
TORCH 1.0	T AO R CH
HUNGRY 1.0	HH AH NG G R IY
SANG 1.0	S AE NG
SAND 1.0	S AE N D
EDGE 1.0	EH JH
THEY'LL 1.0	DH EY L
YESTERDAY'S 1.0	Y EH S T ER D EY Z
BIT 1.0	B IH T
ISN'T 1.0	IH Z AH N T
TOLD 1.0	T OW L D
POOR 1.0	P UW R
HOLY 1.0	HH OW L IY
HEADED 1.0	HH EH D AH D
UNDERNEATH 1.0	AH N D ER N IY TH
EPHEMERAL 1.0	IH F EH M ER AH L
BEWARE 1.0	B IH W EH R
HARDER 1.0	HH AA R D ER
SEARCH 1.0	S ER CH
WARN 1.0	W AO R N
THEIR 1.0	DH EH R
WARM 1.0	W AO R M
POOF 1.0	P UW F
KARMA 1.0	K AA R M AH
PRETENDING 1.0	P R IY T EH N D IH NG
FORWARD 1.0	F AO R W ER D
RUMORS 1.0	R UW M ER Z
HOLE 1.0	HH OW L
HOLD 1.0	HH OW L D
DOWNSTAIRS 1.0	D AW N S T EH R Z
THINK 1.0	TH IH NG K
POOL 1.0	P UW L
CRISTAL 1.0	K R IH S T AH L
CEILING 1.0	S IY L IH NG
RIGHT 1.0	R AY T
ASSURED 1.0	AH SH UH R D
BLOWN 1.0	B L OW N
PILLAGE 1.0	P IH L IH JH
PRISONERS 1.0	P R IH Z AH N ER Z
FLOAT 1.0	F L OW T
COINCIDENCE 1.0	K OW IH N S IH D AH N S
KICKING 1.0	K IH K IH NG
ENOUGH 1.0	IH N AH F
CRADLE 1.0	K R EY D AH L
UNIVERSE 1.0	Y UW N AH V ER S
NOTHING 1.0	N AH TH IH NG
STREAMS 1.0	S T R IY M Z
BLOWS 1.0	B L OW Z
CAROLINA 1.0	K EH R AH L AY N AH
LEAVES 1.0	L IY V Z
FUNNY 1.0	F AH N IY
HUMILITY 1.0	HH Y UW M IH L IH T IY
WAND 1.0	W AA N D
STAINS 1.0	S T EY N Z
FATHER 1.0	F AA DH ER
WARLORDS 1.0	W AO R L AO R D Z
MUSE 1.0	M Y UW Z
SONGS 1.0	S AO NG Z
STREET 1.0	S T R IY T
PLANET'S 1.0	P L AE N AH T S
POUR 1.0	P AO R
WANT 1.0	W AA N T
FAIRY 1.0	F EH R IY
SHOESHINE 1.0	SH UW SH AY N
CUM 1.0	K AH M
BEST 1.0	B EH S T
MUST 1.0	M AH S T
MUNCHIES 1.0	M AH N CH IY Z
HONESTY 1.0	AA N AH S T IY
DISAPPEARED 1.0	D IH S AH P IH R D
MASQUERADE 1.0	M AE S K ER EY D
TRAMPLED 1.0	T R AE M P AH L D
PICK 1.0	P IH K
HEARTS 1.0	HH AA R T S
WENT 1.0	W EH N T
SHAPING 1.0	SH EY P IH NG
GREATEST 1.0	G R EY T AH S T
SINGS 1.0	S IH NG Z
MAGIC 1.0	M AE JH IH K
SONG 1.0	S AO NG
COULD 1.0	K UH D
LIBIDO 1.0	L AH B IY D OW
MAGICAL 1.0	M AE JH IH K AH L
FLOOD 1.0	F L AH D
FLAGS 1.0	F L AE G Z
THE 1.0	DH AH
SEEMED 1.0	S IY M D
MOUNTAINS 1.0	M AW N T AH N Z
CRAZY 1.0	K R EY Z IY
GOLDEN 1.0	G OW L D AH N
WELCOME 1.0	W EH L K AH M
BLAME 1.0	B L EY M
ITEM 1.0	AY T AH M
TAIL 1.0	T EY L
PITCH 1.0	P IH CH
KID 1.0	K IH D
INSANE 1.0	IH N S EY N
DAZED 1.0	D EY Z D
RETURN 1.0	R IH T ER N
OVERTHREW 1.0	OW V ER TH R UW
BRANCHES 1.0	B R AE N CH AH Z
ROLLED 1.0	R OW L D
LIGHT 1.0	L AY T
CRY 1.0	K R AY
LEAVE 1.0	L IY V
POLES 1.0	P OW L Z
QUICK 1.0	K W IH K
BROADWAY 1.0	B R AO D W EY
ROUND 1.0	R AW N D
ROLLER 1.0	R OW L ER
REALLY 1.0	R IH L IY
CLAWS 1.0	K L AO Z
NONE 1.0	N AH N
FATTY 1.0	F AE T IY
WINDING 1.0	W AY N D IH NG
FRUITION 1.0	F R UW IH SH AH N
DRIP 1.0	D R IH P
BOUNDARIES 1.0	B AW N D ER IY Z
HECK 1.0	HH EH K
FACED 1.0	F EY S T
LYRICS 1.0	L IH R IH K S
BARKER 1.0	B AA R K ER
REASON 1.0	R IY Z AH N
EXPLODING 1.0	IH K S P L OW D IH NG
FACES 1.0	F EY S AH Z
BLAMED 1.0	B L EY M D
DRINKS 1.0	D R IH NG K S
WANTS 1.0	W AA N T S
SELECTION 1.0	S AH L EH K SH AH N
TRACE 1.0	T R EY S
TRACK 1.0	T R AE K
POSITIVE 1.0	P AA Z AH T IH V
FUNERAL 1.0	F Y UW N ER AH L
CENTURY 1.0	S EH N CH ER IY
SHATTER 1.0	SH AE T ER
BEEN 1.0	B IH N
FIREARM 1.0	F AY ER AA R M
BEEP 1.0	B IY P
ROAR 1.0	R AO R
SUNDAY 1.0	S AH N D EY
BUZZ 1.0	B AH Z
STRIKE 1.0	S T R AY K
GUILT 1.0	G IH L T
THEN 1.0	DH EH N
MULTI 1.0	M AH L T IY
AGGRESSIVE 1.0	AH G R EH S IH V
TITLE 1.0	T AY T AH L
BINGE 1.0	B IH N JH
FOREVER 1.0	F ER EH V ER
EXCEPT 1.0	IH K S EH P T
FATHER'S 1.0	F AA DH ER Z
SLIDE 1.0	S L AY D
CLEAR 1.0	K L IH R
THEY 1.0	DH EY
CHURCH 1.0	CH ER CH
SHAKING 1.0	SH EY K IH NG
COSBY 1.0	K AO Z B IY
HESITATE 1.0	HH EH Z AH T EY T
OLD 1.0	OW L D
LISTENED 1.0	L IH S AH N D
NEVERLAND 1.0	N EH V ER L AE N D
CHERRY 1.0	CH EH R IY
UNTIL 1.0	AH N T IH L
TONIGHT 1.0	T AH N AY T
DROWN 1.0	D R AW N
DAMN 1.0	D AE M
MOTOR 1.0	M OW T ER
JULIET 1.0	JH UW L IY EH T
KNOCK 1.0	N AA K
WHOA 1.0	W OW
AMAZED 1.0	AH M EY Z D
UNFORGETTABLE 1.0	AH N F ER G EH T AH B AH L
LOTTO 1.0	L AA T OW
HOTTEST 1.0	HH AA T AH S T
OL' 1.0	OW L
ROAM 1.0	R OW M
FREE 1.0	F R IY
ANSWER 1.0	AE N S ER
STATE 1.0	S T EY T
FUSE 1.0	F Y UW Z
LIGHTING 1.0	L AY T IH NG
BETWEEN 1.0	B IH T W IY N
PRECIOUS 1.0	P R EH SH AH S
SILENCE 1.0	S AY L AH N S
MIRROR 1.0	M IH R ER
RAINING 1.0	R EY N IH NG
STRANGER 1.0	S T R EY N JH ER
PORCH 1.0	P AO R CH
WHAT'S 1.0	W AH T S
ENAMORED 1.0	EH N AE M ER D
LUCY 1.0	L UW S IY
THREAT 1.0	TH R EH T
FORGIVEN 1.0	F ER G IH V AH N
SIDE 1.0	S AY D
MORE 1.0	M AO R
SHERIFF 1.0	SH EH R AH F
SIPPING 1.0	S IH P IH NG
WASH 1.0	W AA SH
INDIGO 1.0	IH N D AH G OW
SUDDEN 1.0	S AH D AH N
EXPECTING 1.0	IH K S P EH K T IH NG
BORED 1.0	B AO R D
KIDDING 1.0	K IH D IH NG
SEEM 1.0	S IY M
HOOD 1.0	HH UH D
REFLECTION 1.0	R AH F L EH K SH AH N
WATCHIN' 1.0	W AA CH IH N
SWEETNESS 1.0	S W IY T N AH S
GAS 1.0	G AE S
SON 1.0	S AH N
OFFENDED 1.0	AH F EH N D AH D
SOW 1.0	S AW
PERFECT 1.0	P ER F EH K T
OKAY 1.0	OW K EY
CLOSED 1.0	K L OW Z D
BEAUTY 1.0	B Y UW T IY
WATCHING 1.0	W AA CH IH NG
WASN'T 1.0	W AA Z AH N T
SHADES 1.0	SH EY D Z
FOOTBALL 1.0	F UH T B AO L
PIECES 1.0	P IY S AH Z
COUNTY 1.0	K AW N T IY
